127.0.0.1 - - [15/Feb/2021:16:41:48 +0900] "GET / HTTP/1.1" 404 807
192.168.0.24 - - [15/Feb/2021:16:43:37 +0900] "GET /app/raspGetData HTTP/1.1" 200 50
192.168.0.24 - - [15/Feb/2021:16:43:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.0.127 - - [15/Feb/2021:17:26:17 +0900] "GET /app/raspGetData HTTP/1.1" 200 50
192.168.0.127 - - [15/Feb/2021:17:26:34 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:26:49 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:26:53 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num02&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:27:10 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num02&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:27:24 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num01&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:27:31 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num01&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:27:47 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num02&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:29:47 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num02&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:30:00 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:30:06 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num01&table_value=ON HTTP/1.1" 200 48
192.168.0.24 - - [15/Feb/2021:17:32:59 +0900] "GET /app/raspGetData HTTP/1.1" 200 603
192.168.0.127 - - [15/Feb/2021:17:33:11 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:35:23 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num02&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:36:11 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num01&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:36:39 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num02&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:42:23 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:42:24 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:52:32 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:52:32 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num02&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:52:32 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num01&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:52:32 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num02&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:52:38 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:52:38 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num02&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:52:39 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num01&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:52:39 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num02&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:52:39 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num03&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:52:47 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num02&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:52:47 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num01&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:52:52 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num01&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:53:02 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num02&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:53:03 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num01&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:53:03 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num02&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:53:06 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num01&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:53:06 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num02&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:53:08 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num01&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:53:08 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num02&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:53:12 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num01&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:53:12 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num02&table_value=ON HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:53:16 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num01&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:53:16 +0900] "GET /app/raspSetData?store_id=BB0101&store_name=%ED%95%9C%EC%9A%B8%EB%8B%B9%EA%B5%AC%EC%9E%A5&table_num=tb2num02&table_value=OFF HTTP/1.1" 200 48
192.168.0.127 - - [15/Feb/2021:17:53:20 +0900] "GET /app/raspSetData?store_id=AA0101&store_name=%ED%95%9C%EC%9A%B8%EC%BB%A4%ED%94%BC%EC%88%8D&table_num=tb1num02&table_value=OFF HTTP/1.1" 200 48
