127.0.0.1 - - [02/Mar/2021:17:13:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Mar/2021:17:17:34 +0900] "POST /ateamweb/detail.fc HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [02/Mar/2021:17:17:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.0.24 - - [02/Mar/2021:17:17:43 +0900] "GET /iot HTTP/1.1" 302 -
192.168.0.24 - - [02/Mar/2021:17:17:44 +0900] "GET /iot/ HTTP/1.1" 200 2128
192.168.0.24 - - [02/Mar/2021:17:17:44 +0900] "GET /iot/css/common.css HTTP/1.1" 200 3520
192.168.0.24 - - [02/Mar/2021:17:17:44 +0900] "GET /iot/css/common.css?v=1614673064083 HTTP/1.1" 200 3520
192.168.0.24 - - [02/Mar/2021:17:17:44 +0900] "GET /iot/imgs/hanul.logo.png HTTP/1.1" 200 5442
192.168.0.24 - - [02/Mar/2021:17:17:44 +0900] "GET /iot/imgs/hanul.png HTTP/1.1" 200 681993
192.168.0.24 - - [02/Mar/2021:17:17:46 +0900] "GET /iot/member HTTP/1.1" 200 8083
192.168.0.24 - - [02/Mar/2021:17:17:46 +0900] "GET /iot/css/common.css?v=1614673065545 HTTP/1.1" 200 3520
192.168.0.24 - - [02/Mar/2021:17:17:46 +0900] "GET /iot/js/join_check.js HTTP/1.1" 200 3102
