127.0.0.1 - - [12/Jan/2021:16:08:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Jan/2021:16:08:35 +0900] "GET /Member_Board/memberLogin.me HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [12/Jan/2021:16:08:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jan/2021:16:09:04 +0900] "POST /Member_Board/memberLoginAction.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:16:09:04 +0900] "GET /Member_Board/boardList.bo HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [12/Jan/2021:16:09:05 +0900] "GET /Member_Board/boardWrite.bo HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [12/Jan/2021:16:09:44 +0900] "POST /Member_Board/boardAddAction.bo HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [12/Jan/2021:16:09:45 +0900] "GET /Member_Board/boardList.bo HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [12/Jan/2021:16:09:46 +0900] "GET /Member_Board/boardWrite.bo HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [12/Jan/2021:16:10:11 +0900] "POST /Member_Board/boardAddAction.bo HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [12/Jan/2021:16:10:12 +0900] "GET /Member_Board/boardList.bo HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [12/Jan/2021:16:12:24 +0900] "GET /Member_Board/boardWrite.bo HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [12/Jan/2021:16:12:59 +0900] "POST /Member_Board/boardAddAction.bo HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [12/Jan/2021:16:12:59 +0900] "GET /Member_Board/boardList.bo HTTP/1.1" 200 1170
